 Radioactive Decay Experiment Oct 1, 2021 11:41 AM
Sample Number	Number of Counts
1	766
2	704
3	694
4	650
5	539
6	519
7	418
8	426
9	437
10	371
11	339
12	298
13	306
14	274
15	242
16	258
17	194
18	173
19	182
20	155
21	119
22	108
23	117
24	96
25	113
26	103
27	103
28	86
29	67
30	67
31	46
32	48
33	59
34	56
35	57
36	45
37	36
38	41
39	36
40	41
41	24
42	32
43	29
44	21
45	26
46	18
47	20
48	23
49	18
50	17
51	11
52	16
53	8
54	13
55	13
56	18
57	12
58	7
59	11
60	6
