# Radioactive Decay Experiment Oct 1, 2021 12:03 PM
# Sample Number	Number of Counts
1,2
2,1
3,0
4,4
5,2
6,2
7,0
8,1
9,1
10,0
11,4
12,0
13,0
14,2
15,0
16,3
17,1
18,1
19,2
20,0
21,1
22,2
23,3
24,0
25,1
26,2
27,1
28,1
29,1
30,1
31,2
32,0
33,2
34,0
35,2
36,2
37,1
38,1
39,5
40,1
41,1
42,2
43,1
44,2
45,3
46,2
47,0
48,0
49,2
50,0
51,0
52,2
53,1
54,2
55,2
56,4
57,7
58,0
59,0
60,0
61,1
62,3
63,1
64,2
65,0
66,2
67,0
68,1
69,3
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,2
79,1
80,0
81,3
82,3
83,2
84,2
85,2
86,2
87,2
88,1
89,2
90,3
91,2
92,1
93,0
94,2
95,3
96,2
97,2
98,1
99,1
100,2
