Radioactive Decay Experiment Oct 1, 2021 12:16 PM
Sample Number	Number of Counts
1	72
2	57
3	59
4	69
5	63
6	56
7	66
8	66
9	64
10	62
11	64
12	57
13	74
14	65
15	57
16	59
17	65
18	57
19	58
20	61
21	77
22	60
23	51
24	57
25	73
26	77
27	66
28	64
29	62
30	64
31	64
32	70
33	70
34	67
35	58
36	74
37	59
38	71
39	69
40	63
41	72
42	46
43	61
44	58
45	53
46	56
47	61
48	43
49	59
50	55
51	57
52	79
53	72
54	65
55	67
56	71
57	65
58	53
59	65
60	65
61	59
62	66
63	61
64	53
65	63
66	59
67	68
68	64
69	68
70	72
71	56
72	61
73	62
74	61
75	72
76	52
77	68
78	66
79	51
80	61
81	64
82	60
83	68
84	62
85	60
86	59
87	68
88	58
89	59
90	50
91	50
92	61
93	49
94	50
95	74
96	56
97	79
98	65
99	62
100	52
